track_name,artists,album_name,track_genre
Pieces (Hushed),Andrew Belle,Black Bear (Hushed),acoustic
Mirrors,Boyce Avenue;Fifth Harmony,"Cover Sessions, Vol. 3",acoustic
Stand by Me,Boyce Avenue,Stand by Me,acoustic
Losing Me,Gabrielle Aplin;JP Cooper,Dear Happy,acoustic
なんでもないや - movie ver.,Mone Kamishiraishi,chouchou,acoustic
You’re Beautiful - Acoustic,John Adams,You’re Beautiful (Acoustic),acoustic
Hikare Inochi,Kitri,Hikare Inochi,acoustic
How To Lose a Girl,Tyler Ward,Songs From Nashville,acoustic
Can’t Help Falling in Love,Boyce Avenue,"Cover Sessions, Vol. 6",acoustic
Dive Deep (Hushed),Andrew Belle,Dive Deep (Hushed),acoustic
When the Party's over (Acoustic Piano),Ben Woodward,When the Party's over (Acoustic Piano),acoustic
Boston,Augustana,All The Stars and Boulevards,acoustic
Living in the Shadows,Matthew Perryman Jones,Living in the Shadows,acoustic
In Case You Didn’t Know,Boyce Avenue,"Cover Sessions, Vol. 4",acoustic
death bed (coffee for your head),Andrew Foy;Renee Foy,death bed (coffee for your head),acoustic
You Are My Sunshine,Kina Grannis,You Are My Sunshine,acoustic
I Won't Give Up,Jason Mraz,I Won't Give Up,acoustic
I Was Born To Love You,Ray LaMontagne;Sierra Ferrell,I Was Born To Love You,acoustic
Only Love Can Hurt Like This,Meg Birch,Life Sucks Playlist,acoustic
Mr Blue,Catherine Feeny,Hurricane Glass,acoustic
Do Not Let Me Go,Joshua Hyslop,Where The Mountain Meets The Valley,acoustic
Holding On And Letting Go,Ross Copperman,Holding On And Letting Go - Single,acoustic
You Already Know,JJ Heller,You Already Know,acoustic
Believer (Remix),Ben Woodward,Believer (Remix),acoustic
Collide - Acoustic Version,Howie Day,Stop All the World Now (Special Edition),acoustic
Love Like This,Ben Rector,Magic,acoustic
Come On Get Higher,Matt Nathanson,Some Mad Hope,acoustic
"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",Rachael Yamagata,Something In the Rain (Music from the Original TV Series),acoustic
Kiss Me Slowly,Parachute,The Way It Was,acoustic
Without You,Parachute,Wide Awake,acoustic
Absolutely Zero,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic
Sleep All Day,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic
You and I Both,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic
Long Nights,Eddie Vedder,Into The Wild (Music For The Motion Picture),acoustic
Please Don't Say You Love Me,Gabrielle Aplin,English Rain,acoustic
Suddenly I See,KT Tunstall,Eye To The Telescope,acoustic
Who Needs Shelter,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic
No Stopping Us,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic
I'll Do Anything,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic
Make You Feel My Love,JJ Heller,I Dream of You: CALM,acoustic
The Remedy (I Won't Worry),Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic
Too Much Food,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic
The Boy's Gone,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic
"On Love, in Sadness",Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic
Curbside Prophet,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic
"Tonight, Not Again - Live",Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic
"Tonight, Not Again",Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),acoustic
Hard Sun,Eddie Vedder,Into The Wild (Music For The Motion Picture),acoustic
Here with Me,Susie Suh;Robot Koch,Here with Me,acoustic
The Scientist,Tyler Ward;Lindsey Stirling;Kina Grannis,"Tyler Ward Covers, Vol. 5",acoustic
Collide,Howie Day,Stop All The World Now,acoustic
get better,Eden Elf;Ren Avel,get better,acoustic
Sympathy,Kitri,Hikare Inochi,acoustic
Let It Go,Boyce Avenue;Rachel Grae,Let It Go,acoustic
What You Need,Chord Overstreet,What You Need,acoustic
100 Years,Five For Fighting,The Battle for Everything,acoustic
You're the Sea,Andrew Belle,Nightshade,acoustic
No Direction,Rachael Yamagata,"One Spring Night (Original Television Soundtrack), Pt. 1",acoustic
Belong,Cary Brothers,Under Control,acoustic
As It Was,The Mayries,As It Was,acoustic
I'm Yours,Jason Mraz,I'm Yours,acoustic
Chi Mai,Joseph Sullinger,Chi Mai,acoustic
Say Something,A Great Big World;Christina Aguilera,Say Something,acoustic
Had It All,Parachute,Parachute,acoustic
Take Me Back ft. Yonnyboii,Zack Tabudlo;Yonnyboii,Take Me Back,acoustic
Whole Again - Acoustic Version,Tobey Rosen,Whole Again (Acoustic Version),acoustic
Overpass Graffiti,The Mayries,Overpass Graffiti,acoustic
Love Song,Sara Bareilles,Little Voice,acoustic
Let Her Go,Andrew Foy;Renee Foy,Let Her Go,acoustic
Brighter Than Sunshine,Aqualung,Still Life,acoustic
Love Story,Tyler Ward;Karis;Ray Lorraine,Love Story,acoustic
Mujer con Abanico,Agustín Amigó;Nylonwings,Mujer con Abanico,acoustic
In the Shadows,Amy Stroup,In the Shadows,acoustic
Can You Feel the Love Tonight,Boyce Avenue;Connie Talbot,Can You Feel the Love Tonight,acoustic
The Story,Brandi Carlile,The Story,acoustic
Better,JJ Heller,Better,acoustic
Iris,Kina Grannis,Iris,acoustic
Rockabye - Acoustic Version,The Mayries,#Acoustic,acoustic
I Need You More Today,Caleb Santos;Viva Music Publishing Inc.,I Need You More Today,acoustic
Beautiful Soul,Boyce Avenue,"Cover Sessions, Vol. 4",acoustic
Let's See What The Night Can Do,Jason Mraz,Know.,acoustic
"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",Rachael Yamagata,Something In the Rain (Music from the Original TV Series),acoustic
Forever And Always,Parachute,The Way It Was,acoustic
Fine On The Outside,Priscilla Ahn,When Marnie Was There Song Album - Just Know That I Love You.,acoustic
Tortured Soul,Chord Overstreet,Tree House Tapes,acoustic
I Believe in You,JJ Heller,I Believe in You,acoustic
At Home,Jon Bryant,Cult Classic,acoustic
"Portland, Maine",Donovan Woods,"Hard Settle, Ain't Troubled",acoustic
Holding On and Letting Go,Ross Copperman,Holding On and Letting Go LP,acoustic
The Flood,Joshua Hyslop,In Deepest Blue (Bonus Track Version),acoustic
Hanggang Kailan (Umuwi Ka Na Baby),Angelina Cruz,Hanggang Kailan (Umuwi Ka Na Baby),acoustic
Out of My League,Stephen Speaks,No More Doubt,acoustic
Say Something,A Great Big World,Is There Anybody Out There? - Track by Track Commentary,acoustic
Rise,Eddie Vedder,Into The Wild (Music For The Motion Picture),acoustic
World Spins Madly On,The Weepies;Deb Talan;Steve Tannen,Say I Am You,acoustic
Stumble,Freddie King,Thanksgiving Party,acoustic
Paradise,Taj Mahal,Supa Chill,acoustic
"Moonlight, Mistletoe & You",Keb' Mo';Gerald Albright,Un tecito y a mimir,acoustic
ひまわりの約束,Motohiro Hata,青の光景,acoustic
Since U Been Gone - Acoustic Version,Thomas Daniel,Since U Been Gone,acoustic
"One more time,One more chance",Masayoshi Yamazaki,"One more time,One more chance",acoustic
Creep,Kina Grannis,Creep,acoustic
Higher Love,Todd Carey;Ariza;Chuck Leavell,Higher Love,acoustic
Hyouriittai,YUZU,Shinsekai,acoustic
How Long Will I Love You,Canyon City,How Long Will I Love You,acoustic
Binibini,Zack Tabudlo,Binibini,acoustic
You Were Supposed to Be Different,Aron Wright,You Were Supposed to Be Different,acoustic
Thinking out Loud,Boyce Avenue,"Cover Sessions, Vol. 3",acoustic
Perfect / Style,Jonah Baker,Covers,acoustic
Poison & Wine,The Civil Wars,Barton Hollow,acoustic
Collide,Howie Day,Stop All The World Now,acoustic
You And I,Ingrid Michaelson,Be OK,acoustic
Give Me Your Forever (ft. Billkin),Zack Tabudlo;Billkin,Give Me Your Forever,acoustic
Falling in Love at a Coffee Shop,Landon Pigg,Coffee Shop,acoustic
Breathe (2 AM),Anna Nalick,Wreck of the Day,acoustic
Habang Buhay,Zack Tabudlo,Episode,acoustic
Beautiful Soul,Jonah Baker,Beautiful Soul,acoustic
Bulletproof,Ben Woodward,Bulletproof,acoustic
Spectrum,Andrew Belle,Nightshade,acoustic
Girls Like You - Acoustic Version,Jonah Baker,Girls Like You (Acoustic Version),acoustic
Nangangamba,Zack Tabudlo,Nangangamba,acoustic
Better Together,Us The Duo,Better Together,acoustic
Heartbreak Anniversary,Andrew Foy;Renee Foy,Heartbreak Anniversary,acoustic
One More Time Around,Tyler Ward;Karis;Ray Lorraine,One More Time Around,acoustic
Say Something,A Great Big World,流星花園音樂專輯,acoustic
Heart Can’t Lose,Zack Tabudlo,Episode,acoustic
I Ain't Ever Loved No One - Acoustic,Donovan Woods;Tenille Townes,The Other Way,acoustic
Empty,Ray LaMontagne,Till The Sun Turns Black,acoustic
"See You Again, Love Me Like You Do, Sugar - Acoustic Mashup",Megan Davies,"See You Again, Love Me Like You Do, Sugar (Acoustic Mashup)",acoustic
The Reason,Tim Halperin,Covers,acoustic
Fix You,Canyon City,Refuge,acoustic
Hand to Hold,JJ Heller,Hand to Hold,acoustic
Hold You in My Arms,Ray LaMontagne,Trouble,acoustic
One Last Dance,Us The Duo,Public Record,acoustic
Heaven,Boyce Avenue;Megan Nicole,"Cover Sessions, Vol. 2",acoustic
The Spark - Bonus Track,Joshua Hyslop,In Deepest Blue (Bonus Track Version),acoustic
American Beauty,Drew Holcomb & The Neighbors,Medicine,acoustic
Such A Simple Thing,Ray LaMontagne,Part Of The Light,acoustic
Colors,Amos Lee,Amos Lee,acoustic
Someone You Loved,Boyce Avenue,"Cover Sessions, Vol. 6",acoustic
More Than Friends (feat. Meghan Trainor),Jason Mraz;Meghan Trainor,Know.,acoustic
Flurry Rush,Days N Daze,Show Me the Blueprints.,acoustic
I Choose You,Sara Bareilles,The Blessed Unrest,acoustic
I Do Adore,Mindy Gledhill,Anchor,acoustic
I'll Be Home For Christmas,Dave Barnes,Christmas Faves 2022,acoustic
Fuck You,Get Dead,Tall Cans & Loose Ends,acoustic
Christmas Comes But Once A Year,Albert King,pov: you have a holly jolly christmas,acoustic
Christmas Comes But Once A Year,Albert King,pov: you rock around the christmas tree,acoustic
If I Ain't Got You - Acoustic,John Adams,If I Ain't Got You (Acoustic),acoustic
Believe - Acoustic,John Adams,Believe (Acoustic),acoustic
Iris - Acoustic,Adam Christopher,Iris (Acoustic),acoustic
Rain - Long Ver.,Motohiro Hata,言ノ葉,acoustic
C'est si bon,Aoi Teshima,Cheek to Cheek~I Love Cinemas~,acoustic
Baby (Acoustic Version),Jonah Baker,Baby (Acoustic Version),acoustic
Reason,YUZU,Land,acoustic
I Like Me Better,Boyce Avenue;Emma Heesters,I Like Me Better,acoustic
Asan Ka Na Ba,Zack Tabudlo,Asan Ka Na Ba,acoustic
A Thousand Years,Boyce Avenue,"Cover Sessions, Vol. 3",acoustic
drivers license,Thomas Daniel,drivers license,acoustic
Love Someone,Jason Mraz,YES!,acoustic
The Winner Takes It All - Acoustic,Jae Hall,The Winner Takes It All (Acoustic),acoustic
Only Time,Aaron Espe,Only Time,acoustic
Almost Lover,A Fine Frenzy,One Cell In The Sea,acoustic
Dance Monkey,Roses & Frey,Dance Monkey,acoustic
Ocean,Parachute,Parachute,acoustic
Dream a Little Dream of Me,Kina Grannis,Dream a Little Dream of Me,acoustic
Back For Good,The Mayries,Back For Good,acoustic
OK,Canyon City,OK,acoustic
Just The Two Of Us,Andrew Foy;Renee Foy,Just The Two Of Us,acoustic
Hey There Delilah,Boyce Avenue,"Cover Sessions, Vol. 6",acoustic
Arcade,Andrew Foy;Renee Foy,Arcade,acoustic
Yellow,Kina Grannis,Yellow,acoustic
Wake Me Up,Roses & Frey,Wake Me Up,acoustic
Walking Blind,Aidan Hawken,Walking Blind (feat. Carina Round),acoustic
Headphones,Jon Bryant,Headphones,acoustic
Teenage Dream,The Rescues,Teenage Dream,acoustic
The Worth Of The Wait,Ivan & Alyosha,The Worth Of The Wait,acoustic
Can't Help Falling In Love - Piano Version,Kina Grannis,Can't Help Falling In Love (Piano Version),acoustic
Never Come Back Again,Austin Plaine,Austin Plaine,acoustic
Love You To Death,Chord Overstreet,Love You To Death,acoustic
Someone You Loved - Acoustic,Plamina,Someone You Loved (Acoustic),acoustic
What a Wonderful World,Kina Grannis;Imaginary Future,What a Wonderful World,acoustic
You Broke Me First,Andrew Foy;Renee Foy,You Broke Me First,acoustic
Long Way Down,Joshua Hyslop,Echos,acoustic
She Is Love,Parachute,Losing Sleep,acoustic
Marigold,Phillip LaRue,The Meaning,acoustic
12:51,krissy & ericka,Twelve: Fifty One (International Version),acoustic
サンサーラ,Takehara Pistol,リョウメンシダ/サンサーラ,acoustic
Sons and Daughters,Allman Brown;Liz Lawrence,1000 Years,acoustic
Brand New,Ben Rector,Brand New,acoustic
Gotta Have You,The Weepies;Deb Talan;Steve Tannen,Say I Am You,acoustic
"30,000 Feet",Ben Rector,Brand New,acoustic
A Thousand Years,Eddy Tyler,Guitar Instrumental Covers,acoustic
Jolene,Ray LaMontagne,Trouble,acoustic
No Ceiling,Eddie Vedder,Into The Wild (Music For The Motion Picture),acoustic
Front Porch,Joy Williams,Front Porch,acoustic
Goodbye Lulu,Days N Daze,Rogue Taxidermy,acoustic
Three More Days,Ray LaMontagne,Cruising,acoustic
Isn't She Lovely - Acoustic,Callum J Wright,Isn't She Lovely (Acoustic),acoustic
We Could Still Be Happy,Rachael Yamagata,"One Spring Night (Original Television Soundtrack), Pt. 4",acoustic
Fix You - Acoustic,John Adams,Fix You (Acoustic),acoustic
I'm Yours - Acoustic,Lusaint,I'm Yours (Acoustic),acoustic
Closer,Boyce Avenue;Sarah Hyland,"Cover Sessions, Vol. 4",acoustic
A Sky Full of Stars,Mother's Daughter;Beck Pete,A Sky Full of Stars,acoustic
I Don't Believe in Satan,Aron Wright,I Don't Believe in Satan,acoustic
Pills,The Perishers,Let There Be Morning (Bonus Track Version),acoustic
Shallow - Acoustic,Tyler Ward;Madysyn,he said. she said.,acoustic
Watermelon Sugar - Acoustic,Jonah Baker,Watermelon Sugar (Acoustic),acoustic
Say You Won't Let Go - Acoustic,Matt Johnson;Jaclyn Davies,Say You Won't Let Go (Acoustic),acoustic
Hikare Inochi,Kitri,Hikare Inochi,acoustic
Call You Mine (Acoustic Piano),Ben Woodward,Call You Mine (Acoustic Piano),acoustic
For Now,Kina Grannis,In the Waiting,acoustic
Sweet Dream,Greg Laswell,Three Flights From Alto Nido,acoustic
Love Nwantiti,Andrew Foy,Love Nwantiti,acoustic
Stars Are on Your Side,Ross Copperman,Stars Are on Your Side,acoustic
We Don't Talk Anymore / Cold (feat. Sara Phillips),Jonah Baker;Sara Phillips,Covers,acoustic
Superman,Joe Brooks,Constellation Me,acoustic
Chasing Cars,Boyce Avenue,"Cover Sessions, Vol. 5",acoustic
Calm Me Down,Zack Tabudlo,Episode,acoustic
KISSして,Masaharu Fukuyama,KISSして,acoustic
Binibini (Last Day On Earth) (feat. James TW),Zack Tabudlo;James TW,Binibini (Last Day On Earth),acoustic
Left for America,Ciaran Lavery,Kosher,acoustic
Ramparts,John Frusciante,To Record Only Water For Ten Days (U.S. Version),acoustic
Hold On - Acoustic,Chord Overstreet,Hold On (Acoustic),acoustic
Dust to Dust,The Civil Wars,The Civil Wars,acoustic
Good night,Masaharu Fukuyama,Good night,acoustic
As You Are,Zack Tabudlo,As You Are,acoustic
Binibini,Zack Tabudlo,Episode,acoustic
It Aint Me,Sara Farell,#Covers,acoustic
Say Something,A Great Big World,Is There Anybody Out There?,acoustic
The Lotto,Ingrid Michaelson;AJR,The Lotto,acoustic
Tamacun,Rodrigo y Gabriela,Rodrigo Y Gabriela,acoustic
Make It Without You,Andrew Belle,The Ladder,acoustic
Dream,Priscilla Ahn,A Good Day,acoustic
"Big Love, Small Moments",JJ Heller,"Big Love, Small Moments",acoustic
I Am Not Alone,Priscilla Ahn,When Marnie Was There Song Album - Just Know That I Love You.,acoustic
Stand Your Ground,Joshua Hyslop,Echos,acoustic
Perfect Man,Front Porch Step,I Never Loved Before I Found You,acoustic
あ。っという間はあるさ,Takehara Pistol,It's My Life,acoustic
Tell The World,Eric Hutchinson,Pure Fiction,acoustic
Ain't No Reason,Brett Dennen,So Much More (Special Edition),acoustic
A Month from Now,Rail Yard Ghosts,Songs from the Lowdown,acoustic
What If,Five For Fighting,Bookmarks,acoustic
Pussy Cat,The Bridge City Sinners,Bridge City Sinners,acoustic
Polaroid Picture,Frank Turner,Tape Deck Heart (Deluxe Edition),acoustic
I Bet On Flying High,Matt Costa,sadsadchristmas,acoustic
I Bet On Flying High,Matt Costa,Christmas Vibes But Not Christmas Songs,acoustic
I Bet On Flying High,Matt Costa,Acoustic Christmas Campfire,acoustic
Mirrors - Acoustic,Jonah Baker,Mirrors (Acoustic),acoustic
To the Wonder (feat. Kina Grannis),Aqualung;Kina Grannis,10 Futures,acoustic
Stay - Acoustic,Jonah Baker,Stay - Acoustic,acoustic
太陽さん,Ichiko Aoba,マホロボシヤ,acoustic
Oh What A Love,Kina Grannis,Oh What A Love,acoustic
Leave The Lights On,Meiko,The Bright Side,acoustic
I Won't Let You Down,Erin McCarley,I Won't Let You Down,acoustic
Look For The Good (Single Version),Jason Mraz,Look For The Good,acoustic
Stargazing,Isabella Celander,Stargazing,acoustic
Bad Liar,Roses & Frey,Bad Liar,acoustic
Is It You,Rachael Yamagata,"One Spring Night (Original Television Soundtrack), Pt. 3",acoustic
Slow Down Time,Us The Duo,Slow Down Time,acoustic
2002 - Acoustic,Amber Leigh Irish,Simply Acoustic,acoustic
Sweeter,Jess Penner,"Love, Love, Love",acoustic
Heat Waves - Acoustic,Daniel Robinson,Heat Waves (Acoustic),acoustic
アジアの純真,Yosui Inoue;Tamio Okuda,ショッピング,acoustic
If the World Was Ending - Acoustic,Jonah Baker;Celine,If the World Was Ending (Acoustic),acoustic
Comes And Goes (In Waves),Greg Laswell,Three Flights From Alto Nido,acoustic
ながれ星,Masaharu Fukuyama,残響,acoustic
Dusk Till Dawn - Acoustic,Blame Jones,Acoustic Versions,acoustic
Don't Wanna Leave You,Ben Woodward,Don't Wanna Leave You,acoustic
Passenger Seat,Stephen Speaks,Passenger Seat,acoustic
Love,Matt White,Best Days,acoustic
Hallelujah,Boyce Avenue,"Cover Sessions, Vol. 6",acoustic
Ashes,Madi Diaz,Phantom,acoustic
明日の☆SHOW,Masaharu Fukuyama,残響,acoustic
Love Me Like You Do,Boyce Avenue,"Cover Sessions, Vol. 4",acoustic
Lost Sparks,Canyon City,Bluebird,acoustic
Who We Are,Tristan Prettyman,Back to Home,acoustic
Heart (Original Version),Masaharu Fukuyama,SING A SONG,acoustic
It'll Be Alright,JJ Heller,It'll Be Alright,acoustic
Everybody,Ingrid Michaelson,Everybody,acoustic
Kabilugan Ng Buwan,Mark Oblea,Kabilugan Ng Buwan,acoustic
Keep Breathing,Ingrid Michaelson,Be OK,acoustic
Fast Car,Boyce Avenue;Kina Grannis,"Cover Sessions, Vol. 2",acoustic
Just the Way You Are,Boyce Avenue,"Cover Sessions, Vol. 2",acoustic
The Ladder,Andrew Belle,The Ladder,acoustic
HELLO (Original Version),Masaharu Fukuyama,HELLO,acoustic
接吻,Hanare Gumi,だれそかれそ,acoustic
Can't Keep It Inside,Brett Dennen;Benedict Cumberbatch,August: Osage County (Original Motion Picture Soundtrack),acoustic
明日天気になれ,Hanare Gumi,音タイム,acoustic
IT'S ONLY LOVE,Masaharu Fukuyama,IT'S ONLY LOVE,acoustic
それがすべてさ,Masaharu Fukuyama,虹/ひまわり/それがすべてさ,acoustic
I Don't Wanna Love Somebody Else,A Great Big World,Is There Anybody Out There? - Track by Track Commentary,acoustic
Burn It All!,RENT STRIKE,Burn It All!,acoustic
Carried Me With You,Brandi Carlile,Onward (Original Motion Picture Soundtrack),acoustic
"O, Pennsyltucky!",Mischief Brew,This Is Not for Children,acoustic
"I Believed You, William Blake",Frank Turner,No Man's Land,acoustic
Pepperspray,Get Dead,Dancing with the Curse,acoustic
Stickup,Get Dead,Dancing with the Curse,acoustic
Heaven - Acoustic,Grace George,Heaven (Acoustic),acoustic
Soldier's Eyes,Jack Savoretti,Days Gone (Original Soundtrack),acoustic
Asleep Among Endives,Ichiko Aoba,Asleep Among Endives,acoustic
Symphony - Acoustic,Thomas Daniel,Symphony,acoustic
When I Was Your Man,Boyce Avenue;Fifth Harmony,"Cover Sessions, Vol. 3",acoustic
Save Your Tears - Acoustic,Amber Leigh Irish,Save Your Tears (Acoustic),acoustic
